Bracket Type=4,,,,,
File Name,Comment,Path,Instrument Method,Position,Inj Vol
2017_January_23_envtstress_oyster1,O127,C:\Xcalibur\Data\Collaborators\Roberts\Emma\data_377,C:\Xcalibur\Data\Collaborators\Roberts\Emma\methods\oyster_DIA_5_30%B_110min_OTMS2_AGC_2e3,"2:D,1",3
2017_January_23_envtstress_blank24,blank,C:\Xcalibur\Data\Collaborators\Roberts\Emma\data_377,C:\Xcalibur\Data\Collaborators\Roberts\Emma\methods\40min_Blank,"1:C,2",3
2017_January_23_envtstress_oyster2,O107,C:\Xcalibur\Data\Collaborators\Roberts\Emma\data_377,C:\Xcalibur\Data\Collaborators\Roberts\Emma\methods\oyster_DIA_5_30%B_110min_OTMS2_AGC_2e3,"2:C,7",3
2017_January_23_envtstress_blank25,blank,C:\Xcalibur\Data\Collaborators\Roberts\Emma\data_377,C:\Xcalibur\Data\Collaborators\Roberts\Emma\methods\40min_Blank,"1:C,2",3
2017_Jaunary_23_envtstress_oyster3,O07,C:\Xcalibur\Data\Collaborators\Roberts\Emma\data_377,C:\Xcalibur\Data\Collaborators\Roberts\Emma\methods\oyster_DIA_5_30%B_110min_OTMS2_AGC_2e3,"2:C,1",3
2017_January_23_envtstress_blank26,blank,C:\Xcalibur\Data\Collaborators\Roberts\Emma\data_377,C:\Xcalibur\Data\Collaborators\Roberts\Emma\methods\40min_Blank,"1:C,2",3
2017_Jaunary_23_envtstress_oyster4,O77,C:\Xcalibur\Data\Collaborators\Roberts\Emma\data_377,C:\Xcalibur\Data\Collaborators\Roberts\Emma\methods\oyster_DIA_5_30%B_110min_OTMS2_AGC_2e3,"2:C,6",3
2017_January_23_envtstress_blank27,blank,C:\Xcalibur\Data\Collaborators\Roberts\Emma\data_377,C:\Xcalibur\Data\Collaborators\Roberts\Emma\methods\40min_Blank,"1:C,2",3
2017_January_23_envtstress_oyster5,O47,C:\Xcalibur\Data\Collaborators\Roberts\Emma\data_377,C:\Xcalibur\Data\Collaborators\Roberts\Emma\methods\oyster_DIA_5_30%B_110min_OTMS2_AGC_2e3,"2:C,4",3
2017_January_23_envtstress_blank28,blank,C:\Xcalibur\Data\Collaborators\Roberts\Emma\data_377,C:\Xcalibur\Data\Collaborators\Roberts\Emma\methods\40min_Blank,"1:C,2",3
2017_January_23_envtstress_oyster6,O55,C:\Xcalibur\Data\Collaborators\Roberts\Emma\data_377,C:\Xcalibur\Data\Collaborators\Roberts\Emma\methods\oyster_DIA_5_30%B_110min_OTMS2_AGC_2e3,"2:C,5",3
2017_January_23_envtstress_blank29,blank,C:\Xcalibur\Data\Collaborators\Roberts\Emma\data_377,C:\Xcalibur\Data\Collaborators\Roberts\Emma\methods\40min_Blank,"1:C,2",3
2017_January_23_envtstress_oyster7,37,C:\Xcalibur\Data\Collaborators\Roberts\Emma\data_377,C:\Xcalibur\Data\Collaborators\Roberts\Emma\methods\oyster_DIA_5_30%B_110min_OTMS2_AGC_2e3,"2:C,3",3
2017_January_23_envtstress_blank30,blank,C:\Xcalibur\Data\Collaborators\Roberts\Emma\data_377,C:\Xcalibur\Data\Collaborators\Roberts\Emma\methods\40min_Blank,"1:C,2",3
